Id,body,Score
65106591,"const initObject = { 
  value: 5,
  next: {
   value: 10,
   next: {
     value: 15,
     next: null
   }
  }
}

const getValues = ({ value, next }) =>
  next 
    ? [value, ...getValues(next)] 
    : [value]

const createObject = values => 
  values.reduce((next, value) => ({ value, next }), null)

const output = createObject(getValues(initObject))

console.log(output)",8
65124087,"import React from ""react"";
import fire from ""./firebase"";
import firebase from ""firebase""
import { useState } from ""react""

    
const UserPage = ({ match }) => {
    const [user, setUser] = useState(null)
    const { params: { userId } } = match;

    useEffect(()=>{
        //Put your Firebase staff here
     },[])
    
    return(
        <>
        <h1>Hey {user}</h1>
        </>
    )
    }
   
export default UserPage
",6
65132253,"let s = [];
for (let j = 0; j < 9999; j++)
{
  let m = [[22,0],[53,0],[64,0],[45,0],[34,0]];
  let l = m.length;
  for(let i = 0; i < m.length; i++)
  {
    let x = Math.floor(Math.random()*l);
    m[i][1] = x; 
  }
  s.push(m);
}
",6
65118160,"class App extends Component {
  state = {
    persons: [
      { name: 'test1', num: randomNum()},
      { name: 'test2', num: randomNum()}
    ]
  }

  randomPerson =() =>{
    return Math.floor(Math.random()* this.state.persons.length)
  }

  render(){
    return (
      <React.Fragment>
        <button onClick={this.randomPerson}>Switch Person</button>
        {/* ^-- I changed this and removed the num declaration */}
        <div>
          <Person name={this.state.persons[num].name} randomNum={this.state.persons[num].num} />
        </div>
      </React.Fragment>
    
    );
  }
}

export default App;

function App() {
    const randomPerson = () => Math.floor(Math.random() * this.state.persons.length);

    const [person, setPerson] = useState([
        { name: 'test1', num: randomNum()},
        { name: 'test2', num: randomNum()}
    ]);
    const [currentPerson, setCurrentPerson] = useState(randomPerson());

    const switchPerson = () => {
        setCurrentPerson(randomPerson());
    };

    return (
        <React.Fragment>
            <button onClick={switchPerson}>Switch Person</button>
            <div>
                <Person name={person[currentPerson].name} randomNum={person[currentPerson].num} />
            </div>
        </React.Fragment>
    );
}
",0
65142244,"<!doctype html>
<html>

<head>
  <title>Load images</title>
  <script>
    function myFunction(numImages) {
      const html = Array.from(Array(numImages).keys()).slice(1).map(key => {
        const id = String(key).padStart(2, '0');
        return `<div class='col-sm-4 more crop col-xs-6 col-md-3 col-lg-3'>
    <a class=""thumbnail fancybox"" rel=""ligthbox"" href=""images/image${id}.jpg"">
      <img class=""img-responsive"" alt="""" src=""images/image${id}.jpg"" title=""Here would be image${id}"" />Here would be img ${id}
    </a>
  </div>`
      })
      document.querySelector('#images').innerHTML = html.join("""");
    }

    window.addEventListener(""load"", function() {
      myFunction(5); /* change to 50 when you are happy */
    });

  </script>
</head>

<body>
  <div id=""images""></div>
</body>",0
65162308,"const fetchData = async() => {
  const response = await fetch('https://jsonplaceholder.typicode.com/todos')
  const json = await response.json()
  return json
}

const thead1 = document.querySelector('#table > thead')
const tbody1 = document.querySelector('#table > tbody')

const headerHtml = (items) => {
  let html = ''
  html += '<tr><th></th>'
  Object.keys(items[0]).forEach(header => {
    html += `<th>${ header }</th>`
  })
  html += '</tr>'
  return html
}

const bodyHtml = (items) => {
  let html = ''
  items.forEach(item => {
    html += '<tr>'
    html += '<td></td>'
    for (let key in item) {
      html += `<td>${ item[key] }</td>`
    }
    html += '</tr>'
  })
  return html

}

(async function() {
  // get data from the API
  const response = await fetchData()

  // transform data for our requirements
  let transformed = response.reduce((a, c) => {
    if (typeof a[c.userId] === ""undefined"") a[c.userId] = 0
    a[c.userId] += 1
    return a
  }, {})

  let data = Object.entries(transformed).map(([id, val]) => ({
    id,
    val
  }))

  thead1.innerHTML = headerHtml(data)
  tbody1.innerHTML = bodyHtml(data)

  // create chart:
  Highcharts.chart('container', {
    data: {
      table: 'table'
    },
    chart: {
      type: 'column'
    },
    title: {
      text: 'Data extracted from a HTML table in the page'
    },
    yAxis: {
      allowDecimals: false,
      title: {
        text: 'Units'
      }
    },
    tooltip: {
      formatter: function() {
        return `
          <b>${ this.series.name }</b>
        `
      }
    }
  });

})();
#table {
  border-collapse: collapse;
  border: 1px solid #cacaca;
  width: 200px;
}

#table tr,
#table th,
#table td {
  border: 1px solid #6f6f6f;
}

#table th {
  background: #cacaca;
}
<script src=""https://code.jquery.com/jquery-3.4.1.min.js""></script>
<script src=""https://code.highcharts.com/highcharts.js""></script>
<script src=""https://code.highcharts.com/modules/data.js""></script>
<script src=""https://code.highcharts.com/modules/exporting.js""></script>

<script src=""https://code.highcharts.com/modules/export-data.js""></script>
<table id=""table"">
  <thead>
  </thead>
  <tbody>
  </tbody>
</table>
<hr />
<div id=""container""></div>",0
65084387,"<!DOCTYPE html>
<html>
<head>
    <script>
        var timerid;
        var secs = 30;
        var randomNumber;
        var mclics = 0;
        var mcorrect = 0;



        function begin() {
            randomNumber = Math.round(Math.random() * 9);

            var atable = document.getElementById(""atable"");
            for (i = 0; i < atable.rows.length; i++) {
                for (j = 0; j < atable.rows[i].cells.length; j++) {
                    var a = Math.ceil(Math.random() * 100);
                    atable.rows[i].cells[j].innerHTML = a;

                    // NEW CODE LINE
                    atable.rows[i].cells[j].addEventListener(""click"", function () {
                        getNumbers(this.innerText);
                        this.removeEventListener(""click"", arguments.callee);
                    });
                    // END NEW CODE LINE
                }
            }

        }

        function check(trgt) {
            if (trgt.tagName == ""TD"") {
                mclics++
                trgt.onclick = false;                 //for not happen again click//
                if ((trgt.innerHTML % randomNumber) == 0) {
                    mcorrect++                          //right clicks
                    trgt.style.backgroundColor = ""green"";
                }
                else {
                    trgt.style.backgroundColor = ""red"";
                }
            }

        }

        // NEW CODE LINE
        function getNumbers(x) {
            var target = document.getElementById('second').getElementsByTagName('td');
            for (var i = 0; i < target.length; i++) {
                if (target[i].innerText.length === 0) {
                    target[i].innerText = x;
                    break;
                }
            }
        }
        // END NEW CODE LINE

    </script>
</head>

<body>
    <input type=""button"" value=""Start"" onclick=""begin()"" style=""width: 30%""><br>
    <p id=""anumber""></p>
    <table id=""atable"" border=""1"" onclick=""check(event.target)"">
        <tr>
            <td style=""width: 292px; height: 39px;""> </td>
            <td style=""width: 332px; height: 39px;""></td>
            <td style=""width: 260px; height: 39px;"">

        </tr>
        <tr>
            <td style=""width: 292px; height: 46px;""></td>
            <td style=""width: 332px; height: 46px;""></td>
            <td style=""width: 260px; height: 46px;"">
        </tr>
        <tr>
            <td style=""width: 292px; height: 172px;""></td>
            <td style=""width: 332px; height: 172px;""></td>
            <td style=""width: 260px; height: 172px;"">
        </tr>

    </table>

    <p>Remaining time: </p>
    <p id=""atimer""></p>

    <table id=""second"" border=""1"">
        <tr>
            <td style=""width: 292px; height: 39px;""> </td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>

        <tr>
            <td style=""width: 292px; height: 46px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 46px;""></td>
        </tr>

        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>

    </table>
</body>
</html>
<!DOCTYPE html>
<html>
<head>
    <script>
        var timerid;
        var secs = 30;
        var randomNumber;
        // var mclics = 0;
        var mcorrect = 0;

        function begin() {

            // NEW CODE LINE
            mcorrect = 0;

            var tableA = document.getElementById('atable').getElementsByTagName('td');
            for (var i = 0; i < tableA.length; i++) {
                tableA[i].style.backgroundColor = '';
                tableA[i].removeEventListener(""click"", getClick);
            }

            var tableB = document.getElementById('second').getElementsByTagName('td');
            for (var i = 0; i < tableB.length; i++) {
                tableB[i].innerText = '';
            }
            // END NEW CODE LINE

            randomNumber = Math.round(Math.random() * 9);

            var atable = document.getElementById(""atable"");
            for (i = 0; i < atable.rows.length; i++) {
                for (j = 0; j < atable.rows[i].cells.length; j++) {
                    var a = Math.ceil(Math.random() * 100);
                    atable.rows[i].cells[j].innerHTML = a;

                    // NEW CODE LINE
                    atable.rows[i].cells[j].addEventListener(""click"", getClick);
                    // END NEW CODE LINE
                }
            }

        }

        // function check(trgt) {
        //     if (trgt.tagName == ""TD"") {
        //         mclics++
        //         trgt.onclick = false;                 //for not happen again click//
        //         if ((trgt.innerHTML % randomNumber) == 0) {
        //             mcorrect++                          //right clicks
        //             trgt.style.backgroundColor = ""green"";
        //         }
        //         else {
        //             trgt.style.backgroundColor = ""red"";
        //         }
        //     }
        // }

        // NEW CODE LINE
        function getClick() {
            getNumbers(this.innerText, this);
            this.removeEventListener(""click"", getClick);
        }

        function getNumbers(x, y) {

            if ((y.innerHTML % randomNumber) == 0) {
                mcorrect++                          //right clicks
                y.style.backgroundColor = ""green"";
            }
            else {
                y.style.backgroundColor = ""red"";
            }

            var target = document.getElementById('second').getElementsByTagName('td');
            for (var i = 0; i < target.length; i++) {
                if (target[i].innerText.length === 0) {
                    target[i].innerText = x;
                    break;
                }
            }
        }
        // END NEW CODE LINE

    </script>
</head>

<body>
    <input type=""button"" value=""Start"" onclick=""begin()"" style=""width: 30%"">
    <br>

    <p id=""anumber""></p>
    <table id=""atable"" border=""1"">
        <tr>
            <td style=""width: 292px; height: 39px;""> </td>
            <td style=""width: 332px; height: 39px;""></td>
            <td style=""width: 260px; height: 39px;"">

        </tr>
        <tr>
            <td style=""width: 292px; height: 46px;""></td>
            <td style=""width: 332px; height: 46px;""></td>
            <td style=""width: 260px; height: 46px;"">
        </tr>
        <tr>
            <td style=""width: 292px; height: 172px;""></td>
            <td style=""width: 332px; height: 172px;""></td>
            <td style=""width: 260px; height: 172px;"">
        </tr>

    </table>

    <p>Remaining time: </p>
    <p id=""atimer""></p>

    <table id=""second"" border=""1"">
        <tr>
            <td style=""width: 292px; height: 39px;""> </td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>

        <tr>
            <td style=""width: 292px; height: 46px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 46px;""></td>
        </tr>

        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>
        <tr>
            <td style=""width: 332px; height: 39px;""></td>
        </tr>

    </table>
</body>
</html>",0
65103187,"<style>
  .butt {
    background:blue;
  }
  .butt.toggled {
    background:lightblue;
  }
</style>

<script>
  export let toggled = false

  function toggle() {
    toggled = !toggled
  }
</script>

<div
  on:click={toggle}
  class=""butt""
  class:toggled
>sample button</div>
",0
65085875,"{item.titleName && (
  <li onClick={() => { this.setState({ indexDescription: index }) }}>
    <div className={less.sidebar_list}>
      <div>
        <FontAwesomeIcon className={less.item_icon} icon={item.iconName} />
      </div>
      <div className={less.titleName}>
        <div>
          <p>{item.titleName}</p>
        </div>
      </div>
    </div>
  </li>
)}
",0
65092440,"$(document).ready(function(){
    $(""#normal"").keyup(function(){

        var r = $(""#normal"").val();
      let d= """";
          let c = 'bcdfghjklmnpqrstvwxz';
          for(let letter of r){
            let smallLetter = letter.toLowerCase();
            d = d + letter;
            if(c.includes(smallLetter)){

              d = d + 'o' + smallLetter;  
           }
          }

        $(""#pirate"").val(d);

    });
});
<!-- Av Karwan Maryame Azar.-->


<html lang=""en"">
<head>
  <script src=""https://ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js""></script>

  
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
  <title></title>
</head>
<body>
  
  <h2>Normal</h2>
<textarea id=""normal""></textarea>

<h2>Pirates</h2>
<textarea id=""pirate""></textarea>

<p>
  
<input type='button' value=' Talk like a pirate' />
  

</body>
</html>",0
